"ChangeStep","Species","Cell","Dominant.EigenValue","Per.Capita.Seeds.Exported","Per.Capita.Seeds.Imported","Prop.seeds.exported"
6,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
6,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
6,2,4,0.95,1.62964,1.62964,0.0815058812231984
6,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
6,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
6,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
6,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
7,1,1,0.0771447493656962,40.741,40.741,0.0815058812231984
7,1,2,0.0771447493656962,40.741,40.741,0.0815058812231984
7,1,3,0.0771447493656962,40.741,40.741,0.0815058812231984
7,1,4,0.1,40.741,40.741,0.0815058812231984
7,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
7,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
7,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
7,2,4,0.95,1.62964,1.62964,0.0815058812231984
7,3,1,0.0716148414455344,32.5928,32.5928,0.0815058812231984
7,3,2,0.0716148414455344,32.5928,32.5928,0.0815058812231984
7,3,3,0.0716148414455344,32.5928,32.5928,0.0815058812231984
7,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
8,1,1,0.0771447493656962,40.741,40.741,0.0815058812231984
8,1,2,0.0771447493656962,40.741,40.741,0.0815058812231984
8,1,3,0.0771447493656962,40.741,40.741,0.0815058812231984
8,1,4,0.1,40.741,40.741,0.0815058812231984
8,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
8,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
8,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
8,2,4,0.95,1.62964,1.62964,0.0815058812231984
8,3,1,0.0716148414455344,32.5928,32.5928,0.0815058812231984
8,3,2,0.0716148414455344,32.5928,32.5928,0.0815058812231984
8,3,3,0.0716148414455344,32.5928,32.5928,0.0815058812231984
8,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
9,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
9,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
9,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
9,1,4,0.1,40.741,40.741,0.0815058812231984
9,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
9,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
9,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
9,2,4,0.95,1.62964,1.62964,0.0815058812231984
9,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
9,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
9,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
9,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
10,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
10,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
10,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
10,1,4,0.1,40.741,40.741,0.0815058812231984
10,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
10,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
10,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
10,2,4,0.95,1.62964,1.62964,0.0815058812231984
10,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
10,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
10,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
10,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
11,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
11,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
11,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
11,1,4,0.1,40.741,40.741,0.0815058812231984
11,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
11,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
11,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
11,2,4,0.95,1.62964,1.62964,0.0815058812231984
11,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
11,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
11,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
11,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
12,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
12,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
12,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
12,1,4,0.1,40.741,40.741,0.0815058812231984
12,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
12,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
12,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
12,2,4,0.95,1.62964,1.62964,0.0815058812231984
12,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
12,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
12,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
12,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
